std_inchi_key,receptor_name,Standard_Value,pChEMBL_Value
AFSOEVAGGPEDKW-UHFFFAOYSA-N,ERa,664.0,6.18
AGADFQNWGUDFRP-UHFFFAOYSA-N,ERa,285.0,6.54
AGADFQNWGUDFRP-UHFFFAOYSA-N,ERb,421.0,6.38
AGDLFZRDAMVXKE-UHFFFAOYSA-N,PR,4.9,8.31
AGELDMBCFGFBAP-IISQNECDSA-N,GR,3.44,8.46
AGELDMBCFGFBAP-JECGBCDCSA-N,GR,1.75,8.76
AGGMHZBJHNUETP-IBGZPJMESA-N,GR,99.0,7.0
AGGMHZBJHNUETP-LJQANCHMSA-N,GR,2000.0,5.7
AGGMHZBJHNUETP-UHFFFAOYSA-N,GR,340.0,6.47
AGGMHZBJHNUETP-UHFFFAOYSA-N,MR,1800.0,5.75
AGHYGBDPJCIVIV-ODCWNRFASA-N,GR,23.1,7.805000000000001
AGSCTHMUNVWIEG-UHFFFAOYSA-N,AR,170.0,6.77
AGWBORIZLLWBNO-FQEVSTJZSA-N,GR,1.6,8.8
AGYBPLZBQKCDOK-UKOABYEESA-N,GR,895.0,6.05
AGYCQIVOHBNYPK-MDWZMJQESA-N,ERa,63.0,7.715
AGYSHGHMBZKWMD-ONQPZMABSA-N,AR,10000.0,5.0
AGYSHGHMBZKWMD-ONQPZMABSA-N,PR,230.0,6.64
AGZHSPUECLXTIN-NYHFZMIOSA-N,GR,37.0,7.43
AHANXDAYKXJBKN-UHFFFAOYSA-N,GR,48.0,7.32
AHBILQJMYIFOKN-UHFFFAOYSA-N,GR,677.0,7.135
AHBSLRACYDRJQT-UHFFFAOYSA-N,ERa,37.5,7.449999999999999
AHBSLRACYDRJQT-UHFFFAOYSA-N,ERb,466.365,6.455
AHCZZOJYVQVLQG-UHFFFAOYSA-N,GR,116.0,6.94
AHCZZOJYVQVLQG-UHFFFAOYSA-N,PR,480.0,6.32
AHDSMLCEPLKIHZ-UHFFFAOYSA-N,AR,157.0,6.8
AHEBIJNECBRXCG-UHFFFAOYSA-N,ERa,11057.83,4.96
AHELSLCUIPWEII-UHFFFAOYSA-N,ERa,519.0,6.29
AHELSLCUIPWEII-UHFFFAOYSA-N,ERb,10.6,7.97
AHHXFENSECPMBT-SUMWQHHRSA-N,PR,2220.0,5.65
AHIZPDBEUQPGKT-UHFFFAOYSA-N,AR,350.0,6.46
AHKCVEHQWPIARR-UHFFFAOYSA-N,ERa,553.0,6.26
AHKCYKRBIXSIRI-HWRSSNJWSA-N,GR,9.1,8.04
AHOAXXRTPZAATQ-UHFFFAOYSA-N,ERa,23400.53,4.63
AHPCSBGALZBSDT-UHFFFAOYSA-N,ERa,34038.51,4.47
AHRSGLOWUZBIPE-WSMSWJRJSA-N,GR,93.0,7.03
AHXSKOONHHFRDE-IZZNHLLZSA-N,ERa,2.5,8.6
AHXSKOONHHFRDE-IZZNHLLZSA-N,ERb,31.0,7.51
AHXXHWFYNAUTSS-UHFFFAOYSA-N,ERa,14.0,7.85
AHXXHWFYNAUTSS-UHFFFAOYSA-N,ERb,546.0,6.26
AHZXOWRUYBWOSI-QZQYRZTLSA-N,ERa,0.9,9.05
AHZXOWRUYBWOSI-QZQYRZTLSA-N,ERb,118.0,6.93
AIAPWABHNBRBRB-PXQJOHHUSA-N,AR,330.0,6.48
AIAPWABHNBRBRB-PXQJOHHUSA-N,ERb,120.0,6.92
